episode,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,maxPreyGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,reachedLifeEnd,diedFromHunger,diedFromThirst
1,53.12,25.125,98.091,38.975,30,0,3,0,0,0.0,0,29,1
2,53.12,26.401,88.841,15.833,30,0,3,0,0,0.0,0,29,2
3,61.98,34.886,106.769,20.375,30,0,7,1,0,0.0,0,25,5
4,65.5,32.363,75.445,11.333,30,0,8,0,0,0.0,0,25,5
5,93.94,32.895,67.762,3.55,30,0,5,1,0,0.0,0,26,4
6,162.02,69.817,55.458,1.067,30,0,16,4,0,0.0,0,23,7
7,134.82,99.07,58.22,0.183,30,0,20,5,0,0.0,0,26,4
8,172.3,98.279,52.688,0.4,30,0,18,4,0,0.0,0,26,4
9,194.96,67.96,67.639,8.55,30,0,12,4,0,0.0,0,25,5
10,224.18,101.633,56.411,1.333,30,0,21,5,0,0.0,1,23,6
11,161.5,123.72,57.549,0.15,30,0,27,11,0,0.0,0,26,4
12,179.24,145.921,55.624,2.775,30,0,36,11,0,0.0,0,24,6
13,162.96,163.477,73.032,1.917,32,1,33,11,2,3.0,0,27,5
14,160.52,149.927,59.903,1.183,31,1,37,13,1,1.5,0,23,8
15,216.22,154.827,51.966,0.4,31,1,33,10,1,1.5,2,24,5
16,110.64,159.517,63.067,3.85,31,1,41,14,1,2.55,0,20,11
17,164.6,153.669,66.381,9.9,30,0,41,14,0,0.0,0,22,8
18,153.22,166.194,66.659,0.167,31,1,42,15,1,1.5,0,21,10
19,203.88,188.175,64.862,2.983,31,1,46,15,1,4.35,0,24,7
20,180.96,278.164,73.412,6.633,33,1,64,21,3,8.4,0,26,7
21,168.36,197.086,64.085,0.967,30,0,61,12,0,1.5,0,19,11
22,154.72,156.599,60.297,1.183,30,0,49,11,0,0.0,0,16,14
23,166.78,278.427,97.125,8.5,34,1,69,17,4,6.75,0,20,14
24,232.72,218.762,68.253,3.067,32,1,54,18,2,3.0,1,25,6
25,222.14,257.695,69.845,5.067,33,1,66,19,3,6.9,1,18,14
26,170.18,206.649,72.531,10.508,32,1,51,18,2,3.0,0,24,8
27,181.5,171.186,63.663,2.133,32,1,42,15,2,3.0,0,22,10
28,201.58,249.953,59.887,1.275,32,1,69,22,2,3.0,0,19,13
29,190.42,280.03,71.752,3.892,33,1,72,17,3,10.95,0,17,16
30,236.42,199.011,62.69,5.533,31,1,52,13,1,5.7,1,24,7
31,159.86,227.02,69.342,6.342,31,1,65,20,1,5.25,0,18,13
32,173.72,208.259,76.822,13.966,31,1,66,13,1,4.05,0,15,16
33,165.3,283.325,65.349,0.933,34,1,73,18,4,7.5,0,17,17
34,190.44,177.319,66.696,7.25,32,1,49,10,2,4.5,0,20,12
35,176.14,276.477,71.669,12.433,33,1,74,24,3,5.55,0,19,14
36,234.52,186.193,60.545,7.158,30,0,61,12,0,1.5,1,18,11
37,226.8,216.26,63.69,2.133,31,1,62,18,1,3.3,2,21,8
38,166.72,244.953,64.427,2.983,32,1,73,17,2,3.0,0,15,17
39,193.94,221.067,72.468,12.36,32,1,61,16,2,5.4,0,22,10
40,160.32,157.162,59.755,2.233,30,0,52,8,0,2.7,0,16,14
41,236.98,281.374,63.246,2.267,32,1,80,23,2,4.2,2,23,7
42,200.38,325.27,64.069,0.95,33,2,88,31,3,5.4,1,22,10
43,168.18,208.759,67.217,3.833,30,0,70,18,0,1.5,0,17,13
44,213.32,209.973,64.32,6.651,32,2,58,13,2,4.5,1,20,11
45,171.22,228.837,67.199,3.25,30,0,69,25,0,5.55,0,18,12
46,249.34,400.412,69.38,1.217,35,2,122,23,5,8.85,1,7,27
47,197.5,280.944,73.562,6.575,33,2,86,17,3,5.85,0,13,20
48,169.7,226.081,68.25,8.627,32,1,68,17,2,3.0,0,20,12
49,285.02,554.709,92.657,8.825,39,2,142,43,9,17.7,0,11,28
50,241.82,334.315,73.521,3.467,33,1,93,28,3,11.1,1,14,18
51,215.96,250.75,71.919,10.167,31,1,86,17,1,2.55,0,13,18
52,204.92,307.375,71.093,5.283,31,1,105,26,1,4.2,1,9,21
53,226.5,332.339,70.149,4.184,34,2,96,26,4,7.2,0,18,16
54,236.04,389.045,75.036,7.792,33,1,107,35,3,9.15,1,20,12
55,167.8,320.349,76.612,4.3,33,1,94,24,3,8.4,0,13,20
56,253.36,409.052,84.169,14.508,34,1,121,33,4,9.0,0,11,23
57,313.0,613.5,87.878,5.984,40,2,153,45,10,21.9,3,16,22
58,208.24,299.913,82.608,8.927,32,1,93,24,2,6.75,1,17,14
59,167.32,423.463,81.625,13.952,35,1,115,27,5,12.6,0,14,21
60,294.88,462.224,81.121,5.25,36,1,126,40,6,11.7,0,22,14
61,241.94,397.297,86.664,14.686,36,1,102,30,6,11.85,1,18,17
62,204.68,349.932,72.586,5.243,34,2,103,27,4,8.7,0,14,20
63,213.74,438.194,81.489,6.251,36,1,118,32,6,10.2,1,19,16
64,224.42,348.966,77.418,9.877,33,1,106,27,3,7.2,2,12,19
65,241.06,587.663,85.706,8.41,37,2,167,45,7,16.05,4,13,20
66,265.42,691.996,96.267,6.126,43,2,162,45,13,24.9,2,16,26
67,318.5,921.251,101.556,9.169,47,3,226,63,17,31.65,4,10,33
68,244.9,372.662,69.248,2.551,33,2,109,37,3,4.5,1,19,13
69,245.62,607.831,85.112,12.561,37,1,165,52,7,17.1,2,14,21
70,211.48,401.813,74.35,9.477,33,1,120,30,3,6.0,1,17,16
71,278.02,634.046,83.45,8.435,40,2,152,52,10,20.1,3,21,16
72,309.12,928.468,113.472,14.611,49,2,214,54,19,34.65,3,15,31
73,291.28,975.809,134.382,17.595,49,2,213,65,19,31.35,1,20,28
74,382.9,1125.231,121.156,16.453,50,2,255,87,20,36.45,6,21,23
75,274.46,593.268,103.483,15.583,40,2,148,42,10,17.1,1,17,22
76,296.38,797.967,106.167,10.077,44,3,194,59,14,26.25,4,16,24
77,259.88,547.27,79.969,3.717,37,2,144,46,7,14.4,3,16,18
78,301.92,817.655,118.315,5.576,41,2,211,71,11,21.6,6,14,21
79,368.88,683.14,108.046,8.01,40,2,183,53,10,22.649,4,16,20
80,269.78,866.65,129.769,8.035,45,2,201,66,15,26.699,3,19,23
81,347.4,615.05,89.799,6.357,38,3,158,59,8,20.4,4,19,15
82,300.52,761.845,99.295,8.068,42,2,189,61,12,21.449,4,17,21
83,360.36,857.764,131.522,11.185,43,2,213,66,13,27.749,6,18,19
84,386.54,1610.201,186.362,22.588,61,3,357,112,31,54.748,9,10,42
85,298.52,661.371,99.882,11.844,41,2,174,50,11,16.499,1,14,27
86,334.42,1097.319,120.204,6.482,52,2,250,73,22,33.6,6,19,29
87,351.64,873.022,119.587,12.811,44,2,212,76,14,24.149,6,18,20
88,394.64,1440.944,168.649,11.089,59,3,305,108,29,52.048,11,28,20
89,282.28,570.136,115.918,15.871,38,2,161,44,8,14.699,2,12,25
90,332.0,933.387,152.365,19.332,46,3,238,68,16,31.649,4,16,26
91,364.34,1373.487,143.49,17.49,56,4,298,101,26,50.548,8,19,29
92,432.9,1698.634,170.275,18.291,61,3,387,132,31,56.848,15,15,31
93,314.2,894.2,115.626,6.29,46,3,221,66,16,27.449,3,16,27
94,272.62,569.022,101.423,5.765,38,2,154,44,8,16.349,2,18,18
95,305.4,1034.696,121.165,5.232,47,2,239,83,17,38.698,7,18,22
96,430.66,2539.688,194.068,17.587,81,4,494,181,51,100.196,24,23,36
97,367.48,982.204,118.504,16.696,48,3,247,74,18,31.799,7,14,27
98,353.36,590.03,89.328,7.573,39,3,147,46,9,18.299,2,18,19
99,303.44,1416.268,175.907,17.879,61,3,256,98,31,56.398,3,39,20
100,427.48,1099.936,130.49,18.287,49,4,277,83,19,34.949,6,17,26
101,222.8,522.67,83.126,9.923,37,2,130,42,7,16.649,1,20,16
102,339.7,952.668,103.253,12.98,47,4,230,72,17,34.199,8,21,18
103,401.86,1861.348,147.764,9.206,65,3,403,135,35,69.297,20,16,29
104,345.68,1527.595,153.062,15.671,60,3,323,109,30,59.548,6,18,36
105,384.76,1076.618,132.188,10.364,50,3,256,83,20,37.498,7,16,27
106,337.22,846.073,111.911,13.022,43,3,209,76,13,28.349,5,17,21
107,337.5,678.693,95.671,16.921,41,3,177,47,11,22.349,1,14,26
108,390.7,842.534,114.198,7.348,44,3,215,68,14,28.799,5,21,18
109,498.96,2197.047,198.898,23.686,75,5,459,164,45,81.447,21,25,29
110,333.12,710.852,108.74,21.603,40,2,183,57,10,20.999,4,18,18
111,419.72,2396.933,202.92,21.595,83,4,427,172,53,100.356,9,43,31
112,494.78,1459.778,124.298,8.531,59,4,309,112,29,51.598,14,27,18
113,329.6,1045.5,130.555,27.435,46,3,243,94,16,37.498,8,24,14
114,399.06,1433.122,138.531,10.614,58,3,324,110,28,49.498,13,21,24
115,468.36,1932.955,156.172,11.247,67,4,403,158,37,73.797,20,25,22
116,367.88,1507.539,144.597,26.186,55,3,324,100,25,48.758,11,15,29
117,326.7,1502.25,150.533,16.446,59,3,306,116,29,53.848,9,22,28
118,377.1,1444.051,147.585,27.61,59,4,340,93,29,51.748,8,9,42
119,334.54,1013.281,137.941,28.285,47,3,255,75,17,37.198,6,12,29
120,358.52,1562.744,145.451,15.655,62,4,333,114,32,60.45,7,19,36
121,275.82,697.913,91.275,10.156,41,2,161,60,11,27.449,1,24,16
122,374.78,1592.052,181.959,17.629,60,3,319,132,30,62.097,11,31,18
123,307.54,609.741,87.354,9.956,39,2,154,42,9,22.804,1,15,23
124,425.98,1364.12,129.652,19.529,55,4,295,116,25,48.748,9,28,18
125,590.46,2230.5,165.117,20.437,67,5,429,163,37,70.361,24,22,21
126,262.92,866.158,99.263,10.156,49,3,171,59,19,32.549,0,24,25
127,464.98,1550.754,145.996,12.789,55,3,342,105,25,40.957,19,11,26
128,520.12,2360.394,173.104,15.596,77,5,440,175,47,86.412,17,38,22
129,493.08,2397.197,194.304,20.378,77,5,445,177,47,87.758,23,35,19
130,438.32,1365.657,144.399,18.321,54,4,332,110,24,42.898,10,13,31
131,475.42,1453.781,124.076,17.946,52,4,326,97,22,46.208,17,17,18
132,430.5,1695.781,123.825,12.605,59,4,348,108,29,59.26,11,20,28
133,346.2,798.624,78.859,8.781,41,3,200,71,11,30.299,8,18,15
134,424.86,1156.492,101.471,10.956,44,3,275,88,14,35.106,12,9,23
135,462.56,1646.91,131.926,19.645,56,3,350,120,26,56.559,18,18,21
136,503.56,2006.682,156.988,25.469,67,4,330,151,37,81.463,12,45,10
137,348.62,1495.566,116.626,13.005,52,3,294,113,22,43.507,14,26,12
138,353.32,1103.26,109.136,13.263,48,3,220,73,18,36.306,4,27,17
139,414.02,1668.105,149.597,15.638,58,3,307,129,28,65.411,8,33,17
140,480.02,2194.173,155.03,20.353,66,3,415,164,36,81.157,20,27,19
141,574.16,2403.916,187.078,21.278,77,6,427,167,47,88.814,17,36,26
142,370.56,1161.598,122.886,19.245,50,3,246,79,20,42.157,7,22,21
143,535.32,1599.189,141.747,20.703,56,4,340,111,26,55.059,14,22,20
144,511.26,3406.801,242.784,32.667,100,5,535,232,70,136.672,24,51,26
145,595.82,2555.219,202.523,26.302,79,6,443,186,49,99.316,21,40,18
146,440.5,1571.594,143.586,11.705,55,4,321,118,25,54.609,13,25,17
147,610.3,2922.928,215.312,25.719,87,7,534,203,57,116.719,23,29,35
148,549.04,2695.07,179.462,19.787,82,6,477,181,52,100.966,20,36,26
149,450.94,2085.273,161.902,31.692,65,4,391,156,35,78.013,18,26,21
150,538.14,1723.809,174.508,17.204,63,5,353,112,33,58.51,12,21,30
151,495.96,1143.357,123.292,23.703,45,3,273,80,15,29.705,11,11,23
152,366.52,644.904,84.399,14.305,36,2,147,52,6,26.854,2,22,12
153,288.98,1188.896,103.894,8.323,51,2,206,77,21,38.406,3,33,15
154,461.02,2105.408,158.88,16.729,68,4,375,156,38,73.812,16,30,22
155,574.94,2955.627,208.671,27.835,88,7,514,200,58,102.917,22,35,32
156,279.38,866.006,89.808,10.081,42,2,174,68,12,34.656,5,23,14
157,443.98,1713.996,147.789,14.496,59,4,336,126,29,63.91,12,27,20
158,487.52,2754.764,194.629,23.069,86,5,472,207,56,111.618,20,54,12
159,588.5,2721.063,178.625,17.079,78,5,499,197,48,100.816,26,36,17
160,558.14,2178.211,173.824,25.302,68,5,408,162,38,81.613,17,32,19
161,286.5,864.912,102.177,15.63,44,3,178,55,14,31.355,2,22,20
162,628.02,3126.018,221.844,17.171,89,6,553,224,59,118.519,30,38,21
163,565.32,3249.42,204.328,23.153,92,5,567,219,62,127.521,23,32,37
164,523.58,1825.627,131.149,20.912,60,4,372,131,30,60.31,13,25,22
165,420.42,2208.307,188.602,23.003,72,4,375,146,42,79.213,8,41,24
166,854.38,4511.461,331.771,44.381,140,10,886,374,110,217.085,47,59,34
167,637.14,3070.061,224.179,30.368,98,6,604,239,68,127.521,29,44,25
168,561.98,3127.721,244.202,29.251,98,5,559,223,68,133.372,25,40,33
169,405.7,2118.869,171.372,21.611,68,3,387,148,38,74.112,14,29,25
170,499.22,2717.764,221.604,30.168,94,6,450,219,64,133.972,17,63,14
171,437.78,2672.543,244.441,34.083,96,5,485,222,66,136.822,16,59,21
172,403.22,2058.301,191.464,24.852,79,4,398,173,49,87.914,12,42,25
173,619.34,1371.906,121.908,18.537,58,5,355,134,28,63.16,20,24,14
174,265.02,633.543,74.505,7.79,37,2,140,48,7,27.304,1,20,16
175,450.58,1430.949,146.601,14.097,60,4,349,140,30,65.561,18,23,19
176,463.46,3143.113,256.029,26.602,101,5,479,228,71,144.324,18,62,21
177,500.98,2098.906,188.324,24.194,77,5,444,206,47,102.017,24,40,13
178,797.18,2533.008,216.518,32.984,89,8,591,234,59,132.022,36,35,18
179,692.62,2471.5,184.832,25.819,85,7,592,215,55,114.319,39,27,19
180,553.58,1677.332,142.262,21.478,67,4,387,157,37,82.513,19,34,15
181,814.22,3010.984,225.383,21.403,104,7,647,256,74,132.922,35,39,30
182,628.32,2666.105,217.527,31.476,94,6,550,230,64,136.072,25,39,30
183,641.94,2977.141,212.618,34.403,97,6,617,267,67,140.273,29,44,24
184,828.86,3571.844,251.213,35.613,114,7,706,321,84,171.928,32,60,22
185,501.88,2088.813,176.996,33.63,77,5,449,187,47,101.567,21,42,14
186,426.4,1882.195,156.582,23.221,76,4,373,170,46,88.964,16,48,12
